key,value,remoteness
_XXO__OXO,Win,1
_OOX___OX,Lose,2
__OO___XX,Win,1
__XOO_O_X,Win,1
__XO_OO_X,Lose,2
O_XO__O_X,Lose,0
_OOO__X_X,Win,1
__OX__X_O,Win,1
_____OX_O,Lose,3
X_X_X_OOO,Lose,0
__OXO_X_O,Win,1
_XOOX_O_X,Win,1
__XXX_OOO,Lose,0
__OOO__XX,Win,1
____XOX_O,Win,1
O_X_OOXOX,Lose,2
X_O_X_OXO,Win,1
__XOO_X_O,Lose,2
O_X_O_X_O,Lose,0
__O_X_O_X,Win,1
__XOX_OXO,Win,1
__OXO__OX,Lose,2
__XOX___O,Win,1
__O_O_XOX,Tie,4
O_O_O_X_X,Win,1
__OOO_X_X,Win,1
__X_X_O_O,Tie,5
____O_O_X,Tie,6
X_X_O_OXO,Win,1
__OOX_X_O,Tie,4
_XOXO_O_X,Lose,0
__XXO_OXO,Tie,3
__OOX__OX,Win,1
____OXX_O,Tie,5
X_O__XOXO,Win,2
_OXO__X_O,Win,1
__OX__O_X,Win,2
__XO___XO,Win,3
O_O___XOX,Tie,4
__OO__XOX,Tie,4
__X___OXO,Win,3
_____OO_X,Tie,6
_XXOO_O_X,Win,1
__XOX_O_O,Lose,2
O_O_X_O_X,Lose,2
__X_O_O_X,Win,1
_OOX__X_O,Win,1
__XO__O_X,Win,1
X_X___O_O,Win,1
__O___X_O,Lose,4
__XXO___O,Win,2
__XX___OO,Win,2
__XX__O_O,Tie,5
__OO____X,Tie,6
__X_O_X_O,Win,2
X_O___O_X,Win,1
__O___O_X,Lose,3
______X_O,Win,4
_XXOOX_O_,Win,1
_OOOXOXX_,Win,1
__OXOOXX_,Win,1
___OXXOO_,Lose,2
__OXX__OO,Win,1
__XXOXOO_,Win,1
__OOXO_X_,Win,1
____OOXX_,Win,1
__OXXO__O,Lose,0
__XOOXOX_,Win,1
__OXXO_O_,Tie,4
___XOOX__,Win,1
__XOX_OO_,Lose,2
__O_XOXO_,Tie,4
__OOXOX__,Win,3
__X_OXO__,Win,1
____X__OO,Tie,6
__XOO___X,Win,1
____X_O_O,Tie,6
__XXO__O_,Tie,5
__OOX_XO_,Tie,4
__X_O_OX_,Tie,5
____XOO__,Tie,6
__O_X_O__,Tie,6
____O___X,Tie,7
_OOXOOXX_,Win,1
_XXO_XOO_,Win,1
_OOX_O_X_,Lose,2
__XOXXOO_,Win,1
__OXOO_X_,Lose,2
__XO_X_O_,Win,1
__XO_XOO_,Win,1
__O_OOXX_,Win,1
__OO_OXX_,Win,1
__X__XOO_,Win,1
_____XOO_,Win,4
__OXOOX__,Win,1
__OX_OXO_,Win,1
__XO_XO__,Win,1
___O_XO__,Tie,6
__XOX__O_,Win,1
__OOO_XX_,Win,1
__X_X_OO_,Win,2
____OXO__,Lose,3
__OX____O,Lose,3
__XX__OO_,Win,2
__OO___X_,Tie,6
_____OX__,Win,4
__O__OX__,Win,5
__O_O_X__,Tie,6
__O___XO_,Tie,6
__X___O__,Win,5
________O,Tie,8
_O_OOXXOX,Lose,0
___XXOOXO,Win,1
__XOOOXOX,Lose,0
__O_XXOXO,Win,1
_OXXOO_OX,Lose,0
__OOXX_XO,Win,1
_OXOO_XOX,Lose,0
__OXX_OXO,Win,1
____OOXOX,Lose,2
_XOXOXOXO,Lose,0
_O_OXOXOX,Win,1
___XOXOXO,Lose,2
XOXOOOXOX,Lose,0
OXOX_XOXO,Win,1
_OXO_OXOX,Win,1
__OX_XOXO,Win,1
_XOO_X_XO,Win,1
___O_OXOX,Win,3
__OXOX_XO,Lose,2
_X_X_OOXO,Win,1
_XOX__OXO,Win,1
__XO_O_OX,Win,3
_____XOXO,Win,3
_X_XOOOX_,Tie,3
__OXOXOX_,Lose,0
___OXO_OX,Win,1
____OX_XO,Tie,5
_XOOXX_O_,Tie,3
_OXOOOXX_,Lose,0
__OXXOOX_,Win,1
___OOXXO_,Tie,4
_XOX_XOO_,Win,1
_O_O_XXO_,Tie,4
___X_OOX_,Tie,5
__XOO_XO_,Lose,2
__XO_OXO_,Win,1
__OX__OX_,Win,2
_____O_OX,Tie,6
__XOOO__X,Lose,0
____X_OXO,Win,1
__OXXO_XO,Lose,0
